provider_id,label,steam_id64,item_count,priced_item_count,estimated_total
provider-001,04c4ifka,76561198991387615,1,0,0
provider-002,6raymone23,76561198415072523,26,0,0
provider-004,99892722,76561199344322363,12,0,0
provider-005,abadremu,76561198218062104,38,0,0
provider-010,b_a02,76561199123690769,4,0,0
provider-011,bababagob555,76561198223684156,4,0,0
provider-012,byzx1,76561198853577477,3,0,0
provider-017,dobkachedik1999,76561199125738077,4,0,0
provider-018,Docghostlok,76561198129358065,3,0,0
provider-037,jp30ekXr,76561199382755974,7,0,0
provider-043,MajinLuffy1420,76561199134204717,14,0,0
provider-049,oiydz866,76561199162684185,3,0,0
provider-051,onlysteamwither,76561199190254155,3,0,0
provider-052,oring32,76561199045324591,44,0,0
provider-053,osa8228,76561198202492972,25,0,0
provider-056,queen_k5,76561198333861422,31,0,0
provider-061,siwangxibao5,76561199208580389,8,0,0
provider-068,ujywc089,76561199181822087,3,0,0
provider-071,uzytkownik9669,76561199177241702,25,0,0
provider-073,vimeworl,76561199048539464,17,0,0
provider-075,wbtq1085442,76561199340563026,5,0,0
provider-077,wbtq1085903,76561199354003284,8,0,0
provider-081,xic528,76561198851555290,17,0,0
provider-082,yangxuan01051,76561199017225288,16,0,0
provider-083,yaqzdprte,76561199855990702,9,0,0
provider-087,zakirvla,76561198096167471,31,0,0
provider-090,ZVKPC50864,76561199266912718,3,0,0
provider-091,joebeem89,76561198823655143,11,0,0
provider-093,alz0n_store_cyberpunk,76561199641464085,2,0,0
provider-097,swat1200,76561198104966764,163,0,0
provider-098,markizzz2016,76561199809164836,8,0,0
provider-099,dhortelio#2,76561198123531128,28,0,0
provider-102,aleksandrapojarnova1997,76561199187292797,15,0,0
provider-106,dziczek2k18,76561198854073369,41,0,0
provider-108,fyfcycyf,76561198294741044,75,0,0
provider-109,ziox007,76561198253159016,8,0,0
provider-112,braydens2004,76561198155793524,25,0,0
